hr,name,ra_degrees,dec_degrees,Vmag
7390,VulBD+19 4015,291.555,20.097777777777775,5.63
7391,BD+19 4017,291.6195833333333,19.891388888888887,5.81
7392,CD-4313395,292.3495833333333,-43.44583333333333,5.71
7393,TelCP-55 9100,292.64374999999995,-55.11,6.30
7394,UMiBD+88  112,259.2366666666666,89.03777777777778,6.38
7395,CygBD+36 3557,291.53791666666666,36.31777777777778,5.15
7396,BD+13 4020,291.89124999999996,14.2825,6.32
7397,BD+02 3892,292.0866666666666,2.9302777777777775,5.85
7398,CD-2714004,292.46750000000003,-26.985555555555557,5.52
7399,CD-3215233,292.56125,-32.092222222222226,6.60
7400,AqlBD+01 4010,292.25416666666666,1.9502777777777778,5.80
7401,BD+57 1999,291.4445833333333,58.02722222222222,6.60
7402,BD-07 4968,292.33958333333334,-7.043888888888889,6.61
7403,BD+37 3465,291.9020833333333,37.941111111111105,6.34
7404,BD-00 3760,292.325,0.2461111111111111,6.25
7405,VulBD+24 3759,292.1762499999999,24.665,4.44
7406,VulBD+24 3761,292.23749999999995,24.76861111111111,5.81
7407,BD+14 3936,292.3420833333333,14.595833333333333,5.56
7408,1CygBD+52 2434,291.8579166666666,52.32055555555556,5.75
7409,VulBD+19 4039,292.3370833333333,20.279722222222222,6.33
7410,BD-21 5410,292.72499999999997,-21.31222222222222,6.13
7411,CP-53 9585,293.2241666666667,-53.18583333333333,5.75
7412,BD+02 3904,292.54375,2.904166666666667,6.09
7413,BD+62 1716,291.61041666666665,62.55722222222222,6.38
7414,AqlBD-03 4612,292.6658333333333,-2.7888888888888888,5.03
7415,BD+03 4043,292.6379166666666,3.4444444444444446,6.05
7416,CD-4513296,293.34,-45.27194444444444,5.61
7417,1CygBD+27 3410,292.68041666666664,27.959722222222222,3.08
7418,2CygBD+27 3411,292.68874999999997,27.96527777777778,5.11
7419,BD+35 3658,292.69541666666663,36.228611111111114,6.25
7420,2CygBD+51 2605,292.42625,51.72972222222222,3.79
